INT_SQFT,N_BEDROOM,N_BATHROOM,N_OTHER_ROOM,PARK_FACIL,HOUSE_AGE,SALES_PRICE,AREA_Adyar,AREA_AnnaNagar,AREA_Chromepet,AREA_KKNagar,AREA_Karapakkam,AREA_TNagar,AREA_Velachery
1004,1,1,1,1,43,7600000,0,0,0,0,1,0,0
1986,2,1,2,0,11,21717770,0,1,0,0,0,0,0
909,1,1,1,1,19,13159200,1,0,0,0,0,0,0
1855,3,2,0,0,22,9630290,0,0,0,0,0,0,1
1226,1,1,1,1,29,7406250,0,0,0,0,1,0,0
1220,2,1,1,0,4,12394750,0,0,1,0,0,0,0
1167,1,1,1,0,27,8488790,0,0,1,0,0,0,0
1847,3,2,0,0,10,16800250,0,0,0,0,0,0,1
771,1,1,0,0,34,8308970,0,0,1,0,0,0,0
1635,2,1,1,0,15,8083650,0,0,0,0,0,0,1
1203,2,1,1,1,28,14938000,0,0,1,0,0,0,0
1054,1,1,1,0,37,9449730,0,0,1,0,0,0,0
1196,1,1,1,0,19,8774370,0,0,1,0,0,0,0
1056,1,1,1,1,25,9386490,1,0,0,0,0,0,0
1865,3,2,0,0,54,15499680,0,0,0,0,0,0,1
1868,3,2,0,0,9,15714080,0,0,0,0,0,0,1
1639,2,2,0,1,17,8656000,0,0,0,0,1,0,0
796,1,1,0,1,36,10912550,0,0,1,0,0,0,0
1136,1,1,1,1,30,8287550,1,0,0,0,0,0,0
1902,2,1,2,1,41,21203240,0,1,0,0,0,0,0
1069,1,1,1,1,4,10905530,0,0,1,0,0,0,0
931,1,1,1,1,22,9185970,0,0,1,0,0,0,0
2010,3,2,0,0,9,10925400,0,0,0,1,0,0,0
1074,1,1,1,0,16,9627380,0,0,1,0,0,0,0
1972,2,1,2,0,5,13922760,0,0,0,0,0,1,0
1685,1,1,2,0,34,12601080,0,0,0,0,0,1,0
1130,1,1,1,1,29,13383350,1,0,0,0,0,0,0
1301,1,1,1,1,7,7939625,0,0,0,0,1,0,0
730,1,1,0,1,39,8848285,1,0,0,0,0,0,0
1806,2,1,2,0,35,11338200,0,0,0,0,0,1,0
1981,2,1,2,0,8,12872430,0,1,0,0,0,0,0
868,1,1,1,0,10,9042050,1,0,0,0,0,0,0
1721,1,1,2,1,20,14874380,0,0,0,0,0,1,0
1755,2,1,1,1,19,10222380,0,0,0,0,0,0,1
1709,1,1,2,0,6,12928590,0,1,0,0,0,0,0
2114,3,2,0,1,21,17564820,0,0,0,1,0,0,0
1226,1,1,1,0,27,4971250,0,0,0,0,1,0,0
1648,2,1,1,1,13,9170660,0,0,0,0,0,0,1
856,1,1,1,1,25,10383420,0,0,1,0,0,0,0
904,1,1,1,0,39,11601400,1,0,0,0,0,0,0
1198,1,1,1,0,36,8249260,0,0,1,0,0,0,0
931,1,1,1,0,17,6944500,0,0,0,0,1,0,0
1290,1,1,1,1,48,7745000,0,0,0,0,1,0,0
507,1,1,0,1,46,5728000,0,0,0,0,1,0,0
2492,4,2,0,0,15,18725520,0,0,0,1,0,0,0
851,1,1,0,0,29,3572250,0,0,0,0,1,0,0
1882,2,1,2,1,21,16051580,0,0,0,0,0,1,0
1710,1,1,2,1,11,20215970,0,1,0,0,0,0,0
1412,2,2,0,0,27,8379000,0,0,0,0,1,0,0
779,1,1,0,0,9,5290635,1,0,0,0,0,0,0
1655,1,1,2,0,34,12548930,0,0,0,0,0,1,0
940,1,1,1,0,48,5857750,0,0,0,0,1,0,0
1667,2,1,1,1,5,10729700,0,0,0,1,0,0,0
1926,3,2,0,1,9,17006780,0,0,0,1,0,0,0
718,1,1,0,1,30,5570050,1,0,0,0,0,0,0
545,1,1,0,0,30,3854375,0,0,0,0,1,0,0
1249,1,1,1,1,36,8594875,0,0,0,0,1,0,0
1894,2,1,2,1,45,13549250,0,0,0,0,0,1,0
1469,2,2,0,0,5,9480750,0,0,0,0,1,0,0
916,1,1,1,1,28,5847520,1,0,0,0,0,0,0
934,1,1,1,1,22,9710900,0,0,1,0,0,0,0
1691,2,2,0,0,30,9398750,0,0,0,0,1,0,0
1236,1,1,1,0,39,8806250,0,0,0,0,1,0,0
1577,1,1,2,1,36,12087330,0,0,0,0,0,1,0
1915,2,1,2,1,41,14175620,0,1,0,0,0,0,0
1600,1,1,2,1,21,11920820,0,1,0,0,0,0,0
1579,2,1,1,1,24,13364730,0,0,0,0,0,0,1
1260,2,2,0,0,25,6922975,1,0,0,0,0,0,0
1021,1,1,1,0,5,11673175,1,0,0,0,0,0,0
2174,3,2,0,1,23,13069740,0,0,0,1,0,0,0
668,1,1,0,1,5,10283575,1,0,0,0,0,0,0
1724,2,1,1,1,54,8956480,0,0,0,0,0,0,1
890,1,1,1,1,30,7187350,1,0,0,0,0,0,0
1218,2,2,0,0,30,12574850,1,0,0,0,0,0,0
1792,1,1,2,1,21,13906270,0,1,0,0,0,0,0
1378,2,2,0,0,9,9917500,0,0,0,0,1,0,0
898,1,1,1,1,29,8629750,0,0,0,0,1,0,0
1928,2,1,2,0,10,11667050,0,1,0,0,0,0,0
1233,2,1,1,0,32,9817150,0,0,1,0,0,0,0
1618,2,1,1,1,39,9263050,0,0,0,0,0,0,1
627,1,1,0,0,28,6587500,0,0,0,0,1,0,0
1563,2,1,1,0,28,9799360,0,0,0,0,0,0,1
1693,2,2,0,1,6,12801500,0,0,0,0,1,0,0
1522,1,1,2,0,42,17454510,0,0,0,0,0,1,0
1090,1,1,1,1,28,9832420,1,0,0,0,0,0,0
1085,1,1,1,1,6,14363500,0,0,1,0,0,0,0
1687,1,1,2,0,13,12476770,0,0,0,0,0,1,0
692,1,1,0,1,37,10381355,1,0,0,0,0,0,0
1518,1,1,2,1,36,17600240,0,0,0,0,0,1,0
1025,1,1,1,0,25,10934875,1,0,0,0,0,0,0
2170,3,2,0,1,8,12372160,0,0,0,1,0,0,0
969,1,1,1,1,17,11248750,0,0,1,0,0,0,0
1546,2,1,1,0,27,14241140,0,0,0,1,0,0,0
1709,2,1,1,1,20,10160600,0,0,0,1,0,0,0
1659,1,1,2,1,17,13539080,0,0,0,0,0,1,0
755,1,1,0,0,33,10727750,0,0,1,0,0,0,0
1182,1,1,1,1,17,9867055,1,0,0,0,0,0,0
735,1,1,0,0,13,9478710,1,0,0,0,0,0,0
1089,1,1,1,1,32,9050200,0,0,1,0,0,0,0
1534,2,1,1,1,53,7904210,0,0,0,0,0,0,1
