AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_OTHER_ROOM,PARK_FACIL,HOUSE_AGE,SALES_PRICE
Karapakkam,1004,1,1,1,1,43,7600000
AnnaNagar,1986,2,1,2,0,11,21717770
Adyar,909,1,1,1,1,19,13159200
Velachery,1855,3,2,0,0,22,9630290
Karapakkam,1226,1,1,1,1,29,7406250
Chromepet,1220,2,1,1,0,4,12394750
Chromepet,1167,1,1,1,0,27,8488790
Velachery,1847,3,2,0,0,10,16800250
Chromepet,771,1,1,0,0,34,8308970
Velachery,1635,2,1,1,0,15,8083650
Chromepet,1203,2,1,1,1,28,14938000
Chromepet,1054,1,1,1,0,37,9449730
Chromepet,1196,1,1,1,0,19,8774370
Adyar,1056,1,1,1,1,25,9386490
Velachery,1865,3,2,0,0,54,15499680
Velachery,1868,3,2,0,0,9,15714080
Karapakkam,1639,2,2,0,1,17,8656000
Chromepet,796,1,1,0,1,36,10912550
Adyar,1136,1,1,1,1,30,8287550
AnnaNagar,1902,2,1,2,1,41,21203240
Chromepet,1069,1,1,1,1,4,10905530
Chromepet,931,1,1,1,1,22,9185970
KKNagar,2010,3,2,0,0,9,10925400
Chromepet,1074,1,1,1,0,16,9627380
TNagar,1972,2,1,2,0,5,13922760
TNagar,1685,1,1,2,0,34,12601080
Adyar,1130,1,1,1,1,29,13383350
Karapakkam,1301,1,1,1,1,7,7939625
Adyar,730,1,1,0,1,39,8848285
TNagar,1806,2,1,2,0,35,11338200
AnnaNagar,1981,2,1,2,0,8,12872430
Adyar,868,1,1,1,0,10,9042050
TNagar,1721,1,1,2,1,20,14874380
Velachery,1755,2,1,1,1,19,10222380
AnnaNagar,1709,1,1,2,0,6,12928590
KKNagar,2114,3,2,0,1,21,17564820
Karapakkam,1226,1,1,1,0,27,4971250
Velachery,1648,2,1,1,1,13,9170660
Chromepet,856,1,1,1,1,25,10383420
Adyar,904,1,1,1,0,39,11601400
Chromepet,1198,1,1,1,0,36,8249260
Karapakkam,931,1,1,1,0,17,6944500
Karapakkam,1290,1,1,1,1,48,7745000
Karapakkam,507,1,1,0,1,46,5728000
KKNagar,2492,4,2,0,0,15,18725520
Karapakkam,851,1,1,0,0,29,3572250
TNagar,1882,2,1,2,1,21,16051580
AnnaNagar,1710,1,1,2,1,11,20215970
Karapakkam,1412,2,2,0,0,27,8379000
Adyar,779,1,1,0,0,9,5290635
TNagar,1655,1,1,2,0,34,12548930
Karapakkam,940,1,1,1,0,48,5857750
KKNagar,1667,2,1,1,1,5,10729700
KKNagar,1926,3,2,0,1,9,17006780
Adyar,718,1,1,0,1,30,5570050
Karapakkam,545,1,1,0,0,30,3854375
Karapakkam,1249,1,1,1,1,36,8594875
TNagar,1894,2,1,2,1,45,13549250
Karapakkam,1469,2,2,0,0,5,9480750
Adyar,916,1,1,1,1,28,5847520
Chromepet,934,1,1,1,1,22,9710900
Karapakkam,1691,2,2,0,0,30,9398750
Karapakkam,1236,1,1,1,0,39,8806250
TNagar,1577,1,1,2,1,36,12087330
AnnaNagar,1915,2,1,2,1,41,14175620
AnnaNagar,1600,1,1,2,1,21,11920820
Velachery,1579,2,1,1,1,24,13364730
Adyar,1260,2,2,0,0,25,6922975
Adyar,1021,1,1,1,0,5,11673175
KKNagar,2174,3,2,0,1,23,13069740
Adyar,668,1,1,0,1,5,10283575
Velachery,1724,2,1,1,1,54,8956480
Adyar,890,1,1,1,1,30,7187350
Adyar,1218,2,2,0,0,30,12574850
AnnaNagar,1792,1,1,2,1,21,13906270
Karapakkam,1378,2,2,0,0,9,9917500
Karapakkam,898,1,1,1,1,29,8629750
AnnaNagar,1928,2,1,2,0,10,11667050
Chromepet,1233,2,1,1,0,32,9817150
Velachery,1618,2,1,1,1,39,9263050
Karapakkam,627,1,1,0,0,28,6587500
Velachery,1563,2,1,1,0,28,9799360
Karapakkam,1693,2,2,0,1,6,12801500
TNagar,1522,1,1,2,0,42,17454510
Adyar,1090,1,1,1,1,28,9832420
Chromepet,1085,1,1,1,1,6,14363500
TNagar,1687,1,1,2,0,13,12476770
Adyar,692,1,1,0,1,37,10381355
TNagar,1518,1,1,2,1,36,17600240
Adyar,1025,1,1,1,0,25,10934875
KKNagar,2170,3,2,0,1,8,12372160
Chromepet,969,1,1,1,1,17,11248750
KKNagar,1546,2,1,1,0,27,14241140
KKNagar,1709,2,1,1,1,20,10160600
TNagar,1659,1,1,2,1,17,13539080
Chromepet,755,1,1,0,0,33,10727750
Adyar,1182,1,1,1,1,17,9867055
Adyar,735,1,1,0,0,13,9478710
Chromepet,1089,1,1,1,1,32,9050200
Velachery,1534,2,1,1,1,53,7904210
AnnaNagar,1622,1,1,2,1,5,13063450
KKNagar,2198,3,2,0,1,20,13584980
Chromepet,1293,2,1,1,0,39,13116050
KKNagar,1641,2,1,1,0,29,10012600
Velachery,1950,3,2,0,1,40,12105920
Karapakkam,1245,1,1,1,0,28,4918375
Chromepet,905,1,1,1,0,33,7703200
KKNagar,1496,2,1,1,0,14,8569080
Velachery,1892,3,2,0,1,36,12146620
Velachery,1517,2,1,1,0,10,11671620
Adyar,1034,1,1,1,1,16,9256740
Velachery,1755,2,1,1,1,35,14915900
AnnaNagar,1622,1,1,2,1,7,13547790
Chromepet,1092,1,1,1,0,4,8213040
Chromepet,821,1,1,1,0,7,7304000
KKNagar,1694,2,1,1,0,10,10390900
AnnaNagar,1809,2,1,2,0,26,19206870
Karapakkam,1401,2,2,0,1,13,9965375
Karapakkam,1470,2,2,0,0,24,7207000
Chromepet,798,1,1,0,0,37,9070550
Chromepet,764,1,1,0,0,8,5670200
Chromepet,1135,1,1,1,0,23,9253200
Karapakkam,939,1,1,1,0,38,4294000
Karapakkam,1586,2,2,0,1,28,14316000
TNagar,1973,2,1,2,1,34,23307000
Chromepet,1023,1,1,1,1,17,9735150
Chromepet,884,1,1,1,0,4,11336400
AnnaNagar,1640,1,1,2,0,5,17701600
Adyar,622,1,1,0,0,20,6572900
AnnaNagar,1880,2,1,2,1,16,13423020
KKNagar,2413,4,2,0,0,9,13122040
TNagar,1649,1,1,2,0,24,18939100
Velachery,1729,2,1,1,1,41,12803570
TNagar,1942,2,1,2,0,37,12330740
Chromepet,711,1,1,0,1,12,8050270
Chromepet,885,1,1,1,0,32,7194600
KKNagar,1688,2,1,1,1,15,11412700
Adyar,1236,2,2,0,0,37,12035355
Karapakkam,926,1,1,1,0,20,6877000
KKNagar,1686,2,1,1,0,23,10346400
Karapakkam,1344,2,2,0,0,50,10809500
KKNagar,1437,2,1,1,0,22,10200600
Karapakkam,1430,2,2,0,1,9,6635750
Adyar,1081,1,1,1,0,30,6190150
Karapakkam,1352,2,2,0,1,27,6507250
